,,Name,Last,High,Low,Chg,%Chg,Volume,Time
,,Adani Enterprises,"1,736.00","2,348.85","1,711.15",-399.35,-18.70%,21.44M,13:19:32
,,Adani Ports & SEZ,466.90,534.00,424.05,-28.25,-5.71%,76.84M,13:20:03
,,Ambuja Cements,344.40,367.00,315.30,+10.30,+3.08%,54.06M,13:19:36
,,ITC,378.95,384.70,360.40,+17.55,+4.86%,40.71M,13:19:41
,,SBI,521.20,532.65,502.50,-6.15,-1.17%,24.97M,13:19:42
,,ICICI Bank,849.90,856.00,826.10,+1.95,+0.23%,11.16M,13:19:43
,,Reliance Industries,"2,326.90","2,348.00","2,311.00",-13.00,-0.56%,3.98M,13:19:42
,,Bajaj Finance,"5,687.45","5,819.00","5,645.00",-129.75,-2.23%,1.58M,13:19:43
,,HDFC Bank,"1,594.00","1,624.50","1,588.75",-33.55,-2.06%,5.36M,13:19:56
,,Infosys,"1,574.60","1,584.35","1,552.00",+23.50,+1.52%,4.21M,13:20:08
,,HDFC Life,487.75,505.25,485.40,-27.95,-5.42%,13.04M,13:19:58
,,SBI Life Insurance,"1,106.65","1,155.00","1,090.20",-2.75,-0.25%,5.57M,13:19:58
,,Britannia Industries,"4,550.00","4,595.00","4,370.00",+179.05,+4.10%,1.31M,13:19:33
,,Bank Of Baroda,150.50,156.40,148.55,-4.10,-2.65%,34.35M,13:19:31
,,Housing Development Finance,"2,601.75","2,649.85","2,591.30",-59.95,-2.25%,2.01M,13:19:36
,,Larsen & Toubro,"2,135.65","2,166.95","2,107.85",-9.90,-0.46%,2.42M,13:19:32
,,AXIS Bank,860.70,865.95,837.05,+3.45,+0.40%,5.77M,13:19:28
,,ACC,"1,818.80","2,010.00","1,767.00",-27.65,-1.50%,2.55M,13:19:31
,,Kotak Mahindra Bank,"1,743.35","1,759.70","1,720.00",-1.35,-0.08%,2.58M,13:19:44
,,UPL,698.75,744.95,684.25,-43.40,-5.85%,6.08M,13:19:36
,,Ashok Leyland,151.60,155.00,146.60,+3.90,+2.64%,27.24M,13:19:31
,,KPIT Tech,790.90,813.00,740.65,+48.30,+6.50%,5.14M,13:19:32
,,Tata Consultancy,"3,452.85","3,469.00","3,420.10",+44.50,+1.31%,1.16M,13:19:36
,,Punjab National Bank,50.70,52.25,48.60,+0.40,+0.80%,72.98M,13:19:59
,,Tata Motors,442.65,449.20,440.70,-4.00,-0.90%,7.92M,13:19:42
,,IDFC,88.60,89.30,85.80,+4.25,+5.04%,36.67M,13:19:57
,,UltraTech Cement,"7,167.75","7,310.00","7,005.05",+26.35,+0.37%,440.27K,13:19:32
,,LTIMindtree,"4,586.90","4,592.00","4,395.00",+198.80,+4.53%,699.50K,13:19:57
,,IndusInd Bank,"1,059.95","1,073.40","1,028.40",+18.10,+1.74%,2.85M,13:19:36
,,Tata Steel Ltd,119.25,122.50,118.40,-2.80,-2.29%,25.12M,13:19:42
,,Maruti Suzuki,"8,827.50","8,940.00","8,751.10",+58.65,+0.67%,303.45K,13:19:57
,,Hindustan Unilever,"2,624.50","2,625.80","2,563.00",+50.25,+1.95%,1.03M,13:19:32
,,Adani Ports & SEZ,460.95,519.00,423.00,-31.20,-6.34%,5.36M,13:04:33
,,Canara Bank,283.25,290.50,279.20,-1.20,-0.42%,8.78M,13:19:28
,,Tech Mahindra,"1,014.85","1,044.25","1,013.40",-8.90,-0.87%,2.44M,13:19:36
,,Jubilant Foodworks,434.50,445.25,424.45,-21.95,-4.81%,5.61M,13:19:55
,,Titan Company,"2,325.50","2,385.00","2,320.95",-20.40,-0.87%,1.01M,13:19:55
,,Asian Paints,"2,711.60","2,741.00","2,694.00",-32.15,-1.17%,866.10K,13:19:32
,,Bajaj Finserv,"1,266.40","1,288.65","1,252.10",-1.90,-0.15%,1.80M,13:19:32
,,Persistent Systems,"4,830.10","4,888.00","4,715.00",+145.75,+3.11%,469.60K,13:19:14
,,Vedanta,325.30,334.75,324.55,-2.70,-0.82%,6.82M,13:20:04
,,IDFC First Bank,58.70,59.35,56.80,+2.20,+3.89%,36.78M,13:19:29
,,Birlasoft,272.50,295.00,268.20,-23.50,-7.94%,7.88M,13:19:35
,,Adani Enterprises,"1,730.95","2,341.55","1,712.00",-397.75,-18.69%,1.20M,13:05:00
,,Tata Chemicals,962.30,986.75,912.00,+6.15,+0.64%,2.30M,13:19:58
,,NTPC,166.30,170.85,165.50,-3.70,-2.18%,12.82M,13:20:08
,,Coforge,"4,381.00","4,512.00","4,377.05",+28.25,+0.65%,476.84K,13:19:30
,,HCL Tech,"1,145.75","1,155.50","1,135.00",+13.65,+1.21%,1.84M,13:19:33
,,Jindal Steel&Power,573.75,610.95,570.20,-34.50,-5.67%,2.92M,13:19:15
,,Mahindra & Mahindra,"1,349.90","1,378.20","1,330.50",-2.15,-0.16%,1.25M,13:20:07
