,,Name,Last,High,Low,Chg,%Chg,Volume,Time
,,Adani Enterprises,"2,128.70","3,030.00","1,942.00",-846.30,-28.45%,967.17K,15:59:24
,,Adani Enterprises,"2,175.30","3,010.75","1,941.20",-798.60,-26.85%,13.52M,15:29:59
,,Adani Ports & SEZ,492.15,630.00,459.60,-120.65,-19.69%,4.15M,15:58:07
,,Monarch Networth Capital Ltd,235.40,293.35,233.80,-56.85,-19.45%,6.31K,15:29:20
,,Monarch Networth Capital Ltd,235.00,294.50,233.20,-56.50,-19.38%,122.92K,15:29:53
,,Adani Ports & SEZ,504.90,629.00,459.50,-107.75,-17.59%,46.55M,15:29:59
,,Promax Power,27.00,27.00,27.00,-5.45,-16.80%,5.00K,15:07:26
,,Ambuja Cements,334.60,412.65,320.80,-66.40,-16.56%,4.50M,15:59:55
,,Ambuja Cements,335.00,412.70,320.50,-66.20,-16.50%,78.17M,15:29:59
,,Gandhi Special Tubes,505.50,588.70,500.00,-98.90,-16.36%,110.45K,15:29:57
,,Gandhi Special Tubes,506.20,585.15,500.05,-96.10,-15.96%,5.46K,15:40:31
,,Vedant Asset,53.00,65.90,52.00,-10.00,-15.87%,18.00K,15:29:47
,,National Fittings,55.00,63.00,51.35,-8.40,-13.25%,23.30K,15:29:35
,,General Insurance India,161.20,185.75,151.20,-22.85,-12.42%,229.67K,15:45:15
,,General Insurance India,161.30,185.85,151.05,-22.85,-12.41%,4.89M,15:32:04
,,Rajnandini Metal,13.95,16.60,13.90,-1.95,-12.26%,993.46K,15:29:59
,,ICICI Prudential Life Insurance,401.95,456.60,390.35,-50.45,-11.15%,8.98M,15:32:01
,,ICICI Prudential Life Insurance,402.55,456.50,390.65,-49.60,-10.97%,266.68K,15:51:13
,,HDFC Life,515.50,583.75,502.60,-63.45,-10.96%,951.04K,15:58:53
,,HDFC Life,515.70,584.65,502.35,-63.15,-10.91%,22.66M,15:32:01
,,Raymond,"1,360.00","1,555.55","1,313.65",-165.60,-10.85%,529.58K,15:30:02
,,Inditrade Capital,31.95,35.00,31.00,-3.75,-10.50%,53.99K,15:29:52
,,WSFx Global Pay,33.05,43.60,32.25,-3.85,-10.43%,5.42K,15:45:18
,,Kokuyo Camlin Ltd,71.55,81.25,69.35,-8.10,-10.17%,27.42K,15:29:20
,,Raymond,"1,376.70","1,556.70","1,311.10",-154.90,-10.11%,55.23K,15:59:27
,,Max Financial,751.50,861.85,710.30,-84.15,-10.07%,6.48M,15:29:55
,,Superior Finlease,2.06,2.19,1.90,-0.23,-10.04%,31.47K,15:15:00
,,Adani Total Gas,"1,897.40","1,998.80","1,897.40",-210.80,-10.00%,1.57M,15:29:58
,,Adani Total Gas,"1,901.65","2,005.25","1,901.65",-211.25,-10.00%,97.36K,15:47:57
,,Aarnav Fashions,37.80,43.00,36.05,-4.20,-10.00%,130.53K,15:45:50
,,Betex India,93.70,108.90,93.70,-10.40,-9.99%,8.00K,15:29:44
,,Mathew Easow Research Securities,5.68,5.68,5.68,-0.63,-9.98%,1.00,15:15:00
,,Margo Finance,34.30,39.70,34.30,-3.80,-9.97%,28.00K,15:45:36
,,Goyal Aluminiums,201.20,227.05,201.10,-22.25,-9.96%,28.71K,15:29:33
,,Kokuyo Camlin Ltd,71.75,79.20,69.30,-7.90,-9.92%,465.97K,15:29:56
,,Thakkers Developers,147.65,173.95,147.55,-16.25,-9.91%,5.95K,15:29:33
,,BCL Enterprises,1.64,1.99,1.64,-0.18,-9.89%,3.63M,15:52:53
,,Tirupati Forge,16.80,19.70,16.10,-1.80,-9.68%,3.58M,15:29:55
,,Texmaco,51.000,57.300,48.750,-5.350,-9.49%,6.53M,15:29:57
,,Max Financial,756.55,858.35,710.25,-79.00,-9.45%,149.48K,15:56:43
,,BEML,"1,395.60","1,579.75","1,378.90",-143.80,-9.34%,20.17K,15:47:10
,,Texmaco,51.10,57.45,48.90,-5.25,-9.32%,987.75K,15:54:21
,,SBI Life Insurance,"1,106.35","1,228.00","1,069.00",-113.55,-9.31%,174.71K,15:58:59
,,BEML,"1,399.00","1,579.90","1,378.00",-140.75,-9.14%,401.58K,15:29:56
,,Jonjua Overseas,11.00,11.60,10.81,-1.10,-9.09%,13.84K,11:17:09
,,P H Capital,77.60,88.00,76.00,-7.70,-9.03%,8.06K,15:57:38
,,SBI Life Insurance,"1,109.40","1,228.75","1,068.85",-110.15,-9.03%,8.47M,15:32:00
,,Ganesh Housing Corp Ltd,319.30,358.85,315.10,-31.55,-8.99%,106.91K,15:32:01
,,Everest Organics,105.25,128.90,100.00,-10.40,-8.99%,12.40K,15:40:06
,,F G P,6.46,6.60,6.01,-0.63,-8.89%,1.71K,15:15:00
